dataset,dataset_label,model_a,model_b,n_paired,accuracy_a,accuracy_b,difference_a_minus_b,a_only_correct,b_only_correct,mcnemar_exact_p
OmniVQA,OmniMedVQA sampled,GPT-5.5,Grok 4.3,524,0.851145038167939,0.8320610687022901,0.01908396946564883,43,33,0.3018724904870079
OmniVQA,OmniMedVQA sampled,GPT-5.5,Claude Opus 4.8,524,0.851145038167939,0.9045801526717557,-0.05343511450381677,16,44,0.00039404324272610154
OmniVQA,OmniMedVQA sampled,GPT-5.5,Gemini 3.5 Flash,524,0.851145038167939,0.8874045801526718,-0.0362595419847328,18,37,0.014453833533827728
OmniVQA,OmniMedVQA sampled,Grok 4.3,Claude Opus 4.8,524,0.8320610687022901,0.9045801526717557,-0.0725190839694656,14,52,2.8220182313622557e-06
OmniVQA,OmniMedVQA sampled,Grok 4.3,Gemini 3.5 Flash,524,0.8320610687022901,0.8874045801526718,-0.05534351145038163,21,50,0.0007667649897412908
OmniVQA,OmniMedVQA sampled,Claude Opus 4.8,Gemini 3.5 Flash,524,0.9045801526717557,0.8874045801526718,0.01717557251908397,29,20,0.2528697301676033
PMC-VQA,PMC-VQA sampled,GPT-5.5,Grok 4.3,500,0.624,0.624,0.0,53,53,1.0
PMC-VQA,PMC-VQA sampled,GPT-5.5,Claude Opus 4.8,499,0.6232464929859719,0.6052104208416834,0.018036072144288484,62,53,0.4558140295551913
PMC-VQA,PMC-VQA sampled,GPT-5.5,Gemini 3.5 Flash,500,0.624,0.606,0.018000000000000016,53,44,0.4167748410890994
PMC-VQA,PMC-VQA sampled,Grok 4.3,Claude Opus 4.8,499,0.6232464929859719,0.6052104208416834,0.018036072144288484,59,50,0.4436695012023486
PMC-VQA,PMC-VQA sampled,Grok 4.3,Gemini 3.5 Flash,500,0.624,0.606,0.018000000000000016,71,62,0.48802234383086546
PMC-VQA,PMC-VQA sampled,Claude Opus 4.8,Gemini 3.5 Flash,499,0.6052104208416834,0.6072144288577155,-0.002004008016032066,55,56,0.9999999999999993
VQA-RAD-no-cot,VQA-RAD sampled,GPT-5.5,Grok 4.3,100,0.73,0.62,0.10999999999999999,18,7,0.043285250663757324
VQA-RAD-no-cot,VQA-RAD sampled,GPT-5.5,Claude Opus 4.8,100,0.73,0.62,0.10999999999999999,19,8,0.052238985896110535
VQA-RAD-no-cot,VQA-RAD sampled,GPT-5.5,Gemini 3.5 Flash,100,0.73,0.71,0.020000000000000018,11,9,0.8238029479980469
VQA-RAD-no-cot,VQA-RAD sampled,Grok 4.3,Claude Opus 4.8,100,0.62,0.62,0.0,15,15,1.0
VQA-RAD-no-cot,VQA-RAD sampled,Grok 4.3,Gemini 3.5 Flash,100,0.62,0.71,-0.08999999999999997,12,21,0.16275565745308995
VQA-RAD-no-cot,VQA-RAD sampled,Claude Opus 4.8,Gemini 3.5 Flash,100,0.62,0.71,-0.08999999999999997,9,18,0.12207812070846558
